epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.7173,1.70622,3.35804,1.71003,0.31539,0.35061,0.25256,0.11449,1.82006,2.83188,2.00796,0.00030102,0.00030102,0.00030102
2,88.3513,1.70189,2.51267,1.67942,0.2644,0.38539,0.25174,0.11479,1.90324,2.75343,2.02012,0.00059804,0.00059804,0.00059804
3,130.536,1.68555,2.26577,1.66217,0.36163,0.3845,0.3376,0.18208,1.85554,2.52464,2.06581,0.000889061,0.000889061,0.000889061
4,172.307,1.68696,2.18789,1.66208,0.45267,0.45954,0.4351,0.22494,1.73087,1.98793,1.92656,0.000882003,0.000882003,0.000882003
5,214.037,1.64269,2.0602,1.63024,0.54505,0.50042,0.47103,0.23032,1.79163,1.93507,1.93911,0.000873004,0.000873004,0.000873004
6,255.728,1.59839,1.94765,1.60181,0.58546,0.52392,0.51417,0.27445,1.70975,1.77171,1.84522,0.000864004,0.000864004,0.000864004
7,297.438,1.60588,1.88947,1.6004,0.55336,0.52695,0.54414,0.30575,1.65742,1.79431,1.7733,0.000855005,0.000855005,0.000855005
8,339.239,1.58864,1.83877,1.59034,0.65203,0.46042,0.53901,0.30409,1.61353,1.65216,1.76374,0.000846006,0.000846006,0.000846006
9,380.812,1.57842,1.78488,1.58277,0.49466,0.5476,0.49619,0.27166,1.68418,1.8228,1.80769,0.000837007,0.000837007,0.000837007
10,422.347,1.54051,1.72759,1.56753,0.54827,0.53513,0.54536,0.31471,1.61964,1.64433,1.77264,0.000828008,0.000828008,0.000828008
11,464.079,1.53596,1.70032,1.55346,0.58973,0.567,0.5764,0.31144,1.65786,1.59961,1.80445,0.000819009,0.000819009,0.000819009
12,505.435,1.52807,1.65478,1.5455,0.52013,0.57475,0.55752,0.3075,1.62685,1.57701,1.74188,0.00081001,0.00081001,0.00081001
13,546.975,1.48738,1.61885,1.52256,0.57727,0.55713,0.59485,0.3307,1.60842,1.54745,1.72867,0.000801011,0.000801011,0.000801011
14,588.507,1.48393,1.61778,1.53109,0.57712,0.60118,0.6103,0.34697,1.53305,1.53457,1.65079,0.000792012,0.000792012,0.000792012
15,630.066,1.49311,1.58737,1.51746,0.58423,0.63329,0.6266,0.35058,1.59694,1.41407,1.6954,0.000783013,0.000783013,0.000783013
16,671.579,1.48102,1.54943,1.50188,0.57991,0.63715,0.6336,0.34969,1.59292,1.46851,1.69129,0.000774013,0.000774013,0.000774013
17,713.021,1.45472,1.51433,1.49862,0.65416,0.595,0.63238,0.36064,1.54076,1.45265,1.65943,0.000765014,0.000765014,0.000765014
18,754.708,1.45462,1.52277,1.51216,0.59244,0.64861,0.64746,0.36494,1.57353,1.47401,1.71046,0.000756015,0.000756015,0.000756015
19,796.201,1.45507,1.51521,1.50119,0.62362,0.59311,0.61806,0.36014,1.58959,1.43964,1.70953,0.000747016,0.000747016,0.000747016
20,837.833,1.44395,1.48592,1.49308,0.57709,0.59272,0.61557,0.34765,1.54822,1.4634,1.66162,0.000738017,0.000738017,0.000738017
21,879.359,1.45121,1.47413,1.49467,0.59596,0.68238,0.67122,0.39137,1.49114,1.30459,1.65474,0.000729018,0.000729018,0.000729018
22,920.895,1.45002,1.47947,1.49346,0.59892,0.60436,0.64909,0.37576,1.53254,1.39251,1.66209,0.000720019,0.000720019,0.000720019
23,962.482,1.42328,1.42183,1.46469,0.59348,0.67921,0.68322,0.39889,1.51566,1.31079,1.63203,0.00071102,0.00071102,0.00071102
24,1004.14,1.41242,1.38959,1.45844,0.63837,0.64222,0.67663,0.39561,1.53146,1.30641,1.68271,0.000702021,0.000702021,0.000702021
25,1045.67,1.40212,1.41197,1.47384,0.58608,0.6201,0.62434,0.36198,1.50941,1.47366,1.66114,0.000693022,0.000693022,0.000693022
26,1087.21,1.42228,1.41342,1.45933,0.63085,0.5658,0.59528,0.3402,1.54494,1.54047,1.66515,0.000684022,0.000684022,0.000684022
27,1128.75,1.39469,1.38143,1.46022,0.65848,0.6387,0.69205,0.40054,1.49914,1.31383,1.61217,0.000675023,0.000675023,0.000675023
28,1170.41,1.39529,1.36829,1.45427,0.64427,0.67059,0.68145,0.3818,1.52293,1.34497,1.64017,0.000666024,0.000666024,0.000666024
29,1212.14,1.38979,1.36297,1.46213,0.64047,0.61585,0.64524,0.38077,1.50614,1.3881,1.65123,0.000657025,0.000657025,0.000657025
30,1253.72,1.37179,1.32306,1.43845,0.63775,0.71293,0.7096,0.40176,1.49304,1.28338,1.62307,0.000648026,0.000648026,0.000648026
31,1295.26,1.37023,1.32266,1.4443,0.64805,0.69112,0.70777,0.4188,1.52321,1.24625,1.65943,0.000639027,0.000639027,0.000639027
32,1336.73,1.36311,1.31524,1.43803,0.67967,0.57024,0.66455,0.38658,1.44794,1.26201,1.58178,0.000630028,0.000630028,0.000630028
33,1378.35,1.34323,1.28858,1.43376,0.64744,0.66925,0.70121,0.41653,1.50576,1.25546,1.6344,0.000621029,0.000621029,0.000621029
34,1420.18,1.38028,1.33377,1.4413,0.73892,0.64043,0.7272,0.43041,1.44811,1.20365,1.59672,0.00061203,0.00061203,0.00061203
35,1461.77,1.34163,1.28779,1.43835,0.67417,0.60248,0.63952,0.36604,1.48714,1.3669,1.64664,0.000603031,0.000603031,0.000603031
