epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.2948,1.5638,3.43153,1.69552,0.31139,0.31048,0.17698,0.07699,1.89749,2.89496,1.98855,0.00030102,0.00030102,0.00030102
2,60.0732,1.59707,2.52631,1.66789,0.45114,0.33054,0.32881,0.16398,1.75653,2.35014,1.9697,0.00059804,0.00059804,0.00059804
3,87.6956,1.57094,2.23404,1.66196,0.43611,0.45994,0.38293,0.19301,1.77301,2.09832,1.94633,0.000889061,0.000889061,0.000889061
4,115.448,1.58385,2.12712,1.64739,0.41443,0.43012,0.34271,0.16199,1.84861,2.30477,2.04263,0.000882003,0.000882003,0.000882003
5,143.335,1.54063,1.98526,1.63248,0.47526,0.49848,0.44795,0.24029,1.74322,1.91191,1.87999,0.000873004,0.000873004,0.000873004
6,170.99,1.51029,1.88234,1.61436,0.48002,0.46431,0.46559,0.24093,1.76031,1.89057,1.9138,0.000864004,0.000864004,0.000864004
7,198.82,1.49175,1.80767,1.59858,0.51134,0.52759,0.50029,0.25185,1.75878,1.71112,1.86942,0.000855005,0.000855005,0.000855005
8,226.33,1.47157,1.75172,1.57623,0.51567,0.54309,0.52169,0.2835,1.69238,1.60864,1.8336,0.000846006,0.000846006,0.000846006
9,254.027,1.44513,1.69341,1.56291,0.56246,0.5635,0.56183,0.29455,1.69954,1.67609,1.83835,0.000837007,0.000837007,0.000837007
10,281.7,1.463,1.67181,1.55899,0.58632,0.53056,0.56592,0.31851,1.64232,1.558,1.77451,0.000828008,0.000828008,0.000828008
11,309.382,1.44699,1.61633,1.54865,0.5572,0.41595,0.45007,0.24009,1.69118,1.93452,1.84804,0.000819009,0.000819009,0.000819009
12,337.112,1.40634,1.60484,1.53273,0.58962,0.51503,0.56094,0.31408,1.59761,1.57189,1.73992,0.00081001,0.00081001,0.00081001
13,364.857,1.3795,1.54805,1.51995,0.644,0.56259,0.5583,0.31708,1.62607,1.5574,1.73771,0.000801011,0.000801011,0.000801011
14,392.665,1.39404,1.52252,1.5259,0.58921,0.57947,0.58136,0.33498,1.59021,1.42368,1.72209,0.000792012,0.000792012,0.000792012
15,420.288,1.37522,1.48219,1.5164,0.61848,0.57032,0.59749,0.34233,1.57075,1.56771,1.70386,0.000783013,0.000783013,0.000783013
16,447.93,1.36571,1.48744,1.5005,0.59569,0.57562,0.59436,0.32445,1.58985,1.54446,1.70734,0.000774013,0.000774013,0.000774013
17,475.658,1.36166,1.45965,1.49765,0.57276,0.53693,0.5882,0.33434,1.52948,1.51319,1.67771,0.000765014,0.000765014,0.000765014
18,503.473,1.37428,1.43959,1.50683,0.64302,0.61111,0.63844,0.36169,1.58779,1.41295,1.72096,0.000756015,0.000756015,0.000756015
19,531.325,1.3353,1.40168,1.47993,0.53639,0.57481,0.56087,0.31398,1.64422,1.52904,1.74541,0.000747016,0.000747016,0.000747016
20,558.958,1.33579,1.39044,1.47292,0.69753,0.59149,0.66205,0.40165,1.50834,1.28942,1.6143,0.000738017,0.000738017,0.000738017
21,586.602,1.34661,1.36808,1.48567,0.57177,0.54407,0.53704,0.30467,1.60943,1.60614,1.72494,0.000729018,0.000729018,0.000729018
22,614.284,1.32224,1.37721,1.46907,0.61529,0.6176,0.62849,0.3643,1.56636,1.37085,1.70157,0.000720019,0.000720019,0.000720019
23,641.806,1.31084,1.36508,1.46751,0.60853,0.6273,0.64837,0.38393,1.49971,1.33913,1.64996,0.00071102,0.00071102,0.00071102
24,669.505,1.28637,1.30964,1.4462,0.64079,0.64606,0.66635,0.38163,1.50206,1.3391,1.63372,0.000702021,0.000702021,0.000702021
