epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.1007,0.62092,2.18853,0.91192,0.41814,0.60218,0.35187,0.31761,0.44777,4.79944,0.84537,0.000329412,0.000329412,0.000329412
2,61.7457,0.55694,1.25023,0.88364,0.69243,0.59456,0.59705,0.53657,0.4786,1.11933,0.86367,0.000658371,0.000658371,0.000658371
3,91.2034,0.57196,1.15352,0.88686,0.68309,0.48332,0.63745,0.56041,0.54012,1.09452,0.8712,0.00098293,0.00098293,0.00098293
4,120.553,0.56879,1.09959,0.88753,0.69324,0.6164,0.67617,0.59946,0.46329,0.91748,0.84239,0.0009802,0.0009802,0.0009802
5,150.014,0.54312,1.03264,0.87616,0.7883,0.67011,0.66602,0.59104,0.45394,0.93488,0.84709,0.0009736,0.0009736,0.0009736
6,179.321,0.53167,1.00104,0.87381,0.68049,0.62478,0.6113,0.54474,0.4571,0.92009,0.84448,0.000967,0.000967,0.000967
7,208.691,0.52216,0.94855,0.8743,0.7691,0.6745,0.67951,0.59294,0.46025,0.83893,0.8523,0.0009604,0.0009604,0.0009604
8,238.041,0.51571,0.92777,0.86833,0.75125,0.70358,0.70019,0.63629,0.42978,0.75592,0.83219,0.0009538,0.0009538,0.0009538
9,267.408,0.51065,0.89892,0.8675,0.76734,0.67096,0.74035,0.66988,0.43127,0.80371,0.83869,0.0009472,0.0009472,0.0009472
10,296.813,0.52199,0.92121,0.86001,0.67696,0.79588,0.77454,0.71147,0.40342,0.67385,0.8281,0.0009406,0.0009406,0.0009406
11,326.169,0.49693,0.84849,0.86081,0.7051,0.66168,0.67982,0.61898,0.41208,0.98766,0.82267,0.000934,0.000934,0.000934
12,355.427,0.50184,0.85845,0.86088,0.75355,0.70612,0.73345,0.67268,0.40616,0.74126,0.82616,0.0009274,0.0009274,0.0009274
13,384.663,0.4871,0.82843,0.85841,0.65704,0.77001,0.77061,0.69488,0.43336,0.73875,0.82995,0.0009208,0.0009208,0.0009208
14,414,0.48518,0.80357,0.85444,0.77919,0.71239,0.78163,0.72099,0.37491,0.67859,0.81626,0.0009142,0.0009142,0.0009142
15,443.437,0.48977,0.83167,0.85995,0.70962,0.72357,0.77151,0.71616,0.39689,0.73231,0.81852,0.0009076,0.0009076,0.0009076
16,472.762,0.47346,0.78605,0.85389,0.63152,0.81786,0.77392,0.71028,0.41452,0.63686,0.82427,0.000901,0.000901,0.000901
17,502.049,0.47649,0.79419,0.85455,0.84778,0.65213,0.79919,0.72989,0.38686,0.66891,0.82361,0.0008944,0.0008944,0.0008944
18,531.383,0.46954,0.77653,0.84933,0.73853,0.78932,0.81528,0.75746,0.39651,0.61441,0.81766,0.0008878,0.0008878,0.0008878
19,560.777,0.47627,0.76489,0.85466,0.73013,0.74979,0.79393,0.73421,0.38741,0.62892,0.82046,0.0008812,0.0008812,0.0008812
