epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.6547,0.65607,2.56374,0.92928,0.87995,0.03549,0.26723,0.23502,0.45595,3.0259,0.83089,0.000365817,0.000365817,0.000365817
2,24.3109,0.5796,1.63778,0.89463,0.63415,0.4854,0.50516,0.44691,0.49191,1.28738,0.86773,0.000728863,0.000728863,0.000728863
3,35.5515,0.57053,1.39607,0.89835,0.68453,0.56914,0.56784,0.50433,0.49554,1.076,0.87362,0.00108458,0.00108458,0.00108458
4,46.9772,0.56281,1.28079,0.8987,0.79993,0.56882,0.62383,0.55843,0.48762,0.92585,0.86327,0.001078,0.001078,0.001078
5,58.2714,0.53691,1.14582,0.89292,0.82412,0.62579,0.68228,0.60651,0.46033,0.83044,0.87078,0.001067,0.001067,0.001067
6,69.4023,0.52957,1.06915,0.88297,0.87805,0.67417,0.70532,0.61286,0.48992,0.79537,0.88436,0.00105601,0.00105601,0.00105601
7,80.4016,0.52818,0.99092,0.88389,0.87001,0.64995,0.71312,0.64386,0.46285,0.73341,0.86224,0.00104501,0.00104501,0.00104501
8,91.8258,0.52161,0.94799,0.88245,0.86473,0.63806,0.70186,0.63788,0.43529,0.7959,0.84495,0.00103401,0.00103401,0.00103401
9,103.123,0.5121,0.89497,0.87936,0.85089,0.66027,0.72535,0.65934,0.44641,0.70399,0.8537,0.00102301,0.00102301,0.00102301
10,115.253,0.49905,0.85356,0.87703,0.87281,0.69825,0.73747,0.67827,0.41706,0.66561,0.84137,0.00101201,0.00101201,0.00101201
11,126.412,0.49962,0.82351,0.87597,0.85572,0.63909,0.71569,0.65472,0.42607,0.67892,0.8448,0.00100101,0.00100101,0.00100101
12,137.63,0.48492,0.79612,0.87535,0.90797,0.65363,0.73802,0.67666,0.41184,0.63104,0.84132,0.000990012,0.000990012,0.000990012
13,148.482,0.49024,0.77995,0.87222,0.86011,0.6927,0.73323,0.67035,0.41325,0.62782,0.83625,0.000979013,0.000979013,0.000979013
14,159.549,0.4868,0.74276,0.87712,0.84276,0.74151,0.79055,0.7262,0.39949,0.59786,0.8329,0.000968014,0.000968014,0.000968014
15,170.507,0.47812,0.74824,0.86749,0.79663,0.79402,0.80728,0.74452,0.41211,0.56028,0.83859,0.000957015,0.000957015,0.000957015
16,181.419,0.46183,0.70317,0.86556,0.89367,0.64457,0.8302,0.75745,0.40405,0.61663,0.83832,0.000946016,0.000946016,0.000946016
17,192.86,0.46951,0.70256,0.86749,0.70667,0.77974,0.80972,0.74593,0.39765,0.5579,0.83582,0.000935018,0.000935018,0.000935018
18,204.567,0.45736,0.67496,0.87026,0.84629,0.76379,0.83072,0.76085,0.4045,0.52885,0.84614,0.000924019,0.000924019,0.000924019
19,215.403,0.46383,0.68343,0.86711,0.76142,0.75837,0.77834,0.71952,0.39952,0.52826,0.8331,0.00091302,0.00091302,0.00091302
20,226.923,0.45265,0.65919,0.86191,0.85505,0.75188,0.82349,0.75025,0.41302,0.56741,0.83918,0.000902021,0.000902021,0.000902021
